1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:12059559-12059817	0	0	6	10	0	0	2
22:12064477-12064962	8	23	19	9	9	9	11
22:12073898-12074115	3	3	10	5	10	5	6
22:12074875-12075188	3	13	7	6	2	4	18
22:12079497-12079758	4	2	6	22	4	2	6
22:12080392-12080605	2	9	0	10	0	1	8
22:12085589-12085904	5	2	4	2	7	5	9
22:12089403-12089603	4	2	0	16	0	3	6
22:12090977-12091460	21	8	30	18	7	8	24
22:12096559-12097019	14	19	9	28	0	4	7
22:12097972-12098573	47	53	45	21	10	33	22
22:12102127-12102327	3	3	7	18	0	2	0
22:12108384-12108584	1	0	3	1	4	1	1
22:12113611-12114715	61	30	36	67	8	31	32
22:12115157-12115360	13	5	10	15	4	11	4
22:12116913-12117113	8	8	12	10	6	7	8
22:12117418-12117677	7	4	15	7	1	8	15
22:12118447-12118647	7	1	16	9	1	1	4
22:12127298-12127782	18	5	14	6	14	10	14
22:12132906-12133218	8	5	21	16	1	3	13
22:12133778-12134131	7	16	8	10	8	15	15
22:12134303-12134813	24	16	8	26	15	9	23
22:12141694-12141956	15	6	2	27	4	7	13
22:12143255-12143470	18	8	10	24	3	8	10
22:12150549-12150794	13	19	13	18	6	4	10
22:12151697-12151990	26	18	15	23	10	9	25
22:12152499-12152717	21	8	8	9	2	8	3
22:12154534-12154749	13	10	20	4	3	6	22
22:12156251-12156675	20	9	7	45	8	20	32
22:12159171-12159448	7	17	6	17	4	2	11
22:12162473-12162978	66	30	36	29	21	20	21
22:12163164-12163443	36	9	17	17	2	13	16
22:12167198-12167398	31	13	18	19	7	8	9
22:12171231-12171516	108	109	121	171	76	132	121
22:12175718-12177284	775	580	618	826	351	657	697
22:12177908-12178108	35	29	34	21	25	30	54
22:12178365-12178565	42	25	25	46	14	14	65
22:12183363-12183681	8	12	9	12	4	2	20
22:12184414-12184620	4	7	7	11	10	3	13
22:12184845-12185045	12	1	1	6	1	0	8
22:12185390-12185635	16	3	5	2	0	6	7
22:12190834-12191056	17	5	1	2	8	6	7
22:12191162-12191541	39	16	10	16	4	15	9
22:12192071-12192496	38	16	8	25	9	18	15
22:12195050-12195275	21	7	10	8	0	8	20
22:12197163-12197363	11	10	6	10	6	11	2
22:12197976-12198185	5	8	4	17	7	2	6
22:12202359-12202571	21	7	9	13	1	4	11
22:12204121-12204342	9	13	15	20	2	11	7
22:12204393-12204597	11	16	4	6	0	2	8
22:12206279-12206480	11	10	2	13	10	13	22
22:12210814-12211014	11	9	0	12	2	14	9
22:12211271-12211516	13	8	8	7	5	0	4
22:12219654-12220106	18	16	16	25	4	19	7
22:12220700-12220970	10	3	3	22	0	5	12
22:12221420-12221620	1	3	7	13	3	3	8
22:12224017-12224305	9	9	4	7	8	1	14
22:12276755-12277401	37	14	6	31	6	17	38
22:12279678-12280664	107	91	60	58	18	41	63
22:12282611-12282811	10	2	13	7	11	2	7
22:12286271-12286471	23	7	9	10	4	7	10
22:12286776-12287005	22	3	9	8	3	2	4
22:12289411-12289677	12	24	7	17	3	9	6
22:12292955-12293364	42	14	23	19	6	17	18
22:12295001-12295371	35	22	16	30	18	20	26
22:12297167-12297943	64	58	64	71	24	30	34
22:12303097-12303297	10	3	12	8	0	4	5
22:12305182-12305637	40	29	23	41	6	21	35
22:12308042-12308258	30	7	7	10	4	4	9
22:12308835-12309035	11	18	4	11	9	9	15
22:12309655-12310299	70	57	40	48	26	24	37
22:12312186-12312639	35	30	27	31	8	21	25
22:12317634-12317879	19	8	5	2	2	1	12
22:12322107-12322307	2	8	7	8	10	9	8
22:12322993-12323810	78	42	31	56	11	34	37
22:12330412-12330648	14	18	2	4	2	6	27
22:12335093-12335757	85	28	73	45	13	16	23
22:12337733-12337963	67	76	42	34	31	37	67
22:12341034-12341262	49	22	39	42	14	27	34
22:12342560-12342801	23	2	29	7	2	7	8
22:12346742-12346967	34	26	27	28	15	22	30
22:12347921-12348134	11	9	8	8	3	0	23
22:12353633-12354037	50	33	38	13	12	12	16
22:12355691-12355947	32	33	16	13	2	13	9
22:12356382-12356669	22	15	7	37	5	8	13
22:12359597-12360238	62	40	56	54	17	50	60
22:12362197-12362485	29	11	17	14	1	13	18
22:12367760-12368093	30	9	11	14	2	14	27
22:12371546-12371913	33	9	9	23	13	13	23
22:12372068-12372268	14	14	7	10	4	12	13
22:12379257-12379500	9	9	13	5	0	1	6
22:12383882-12384263	50	8	18	5	9	7	2
22:12388910-12389207	22	5	10	16	2	7	22
22:12389209-12389699	23	17	22	18	4	18	13
22:12395220-12395601	17	2	6	20	0	9	5
22:12396099-12396299	3	1	7	5	0	12	6
22:12397186-12397414	25	2	14	4	5	11	5
22:12401657-12402453	99	22	37	14	21	9	13
22:12412008-12412250	22	2	13	5	5	4	4
22:12416447-12416805	9	3	9	17	0	3	13
22:12422422-12422622	2	2	4	2	0	6	0
22:12425196-12425831	32	8	25	21	10	5	17
