1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:31125605-31125805	10	5	6	7	7	11	14
22:31126456-31126887	34	33	6	17	10	15	11
22:31127519-31127837	11	15	18	9	6	10	17
22:31132948-31133315	23	12	4	15	2	23	15
22:31134298-31134739	5	9	9	12	5	30	10
22:31139219-31139419	2	5	18	0	2	4	12
22:31144326-31144645	58	11	42	4	10	11	8
22:31147640-31147871	1	4	4	14	2	4	2
22:31149049-31149570	34	26	43	23	15	32	18
22:31154858-31155108	17	0	3	13	4	8	3
22:31159984-31161065	251	356	213	131	55	163	147
22:31169786-31170131	3	7	4	5	4	3	17
22:31173441-31174285	362	9	314	14	138	5	17
22:31179162-31180090	42	21	26	34	17	31	27
22:31183946-31184578	19	24	9	12	8	13	18
22:31187073-31187417	4	2	1	8	12	8	5
22:31195297-31195545	6	3	1	4	0	8	4
22:31195603-31195844	12	5	3	7	0	1	5
22:31195963-31196204	2	0	5	7	0	5	12
22:31196322-31196561	7	7	4	3	8	3	4
22:31201945-31202172	5	9	3	3	2	9	7
22:31206945-31207325	134	8	89	6	26	16	18
22:31211981-31212726	664	920	410	253	107	484	348
22:31218591-31218818	6	6	9	3	2	1	4
22:31218862-31219071	4	16	0	8	0	3	4
22:31223183-31223394	10	5	1	4	9	2	4
22:31224008-31224259	15	6	6	12	11	10	0
22:31229591-31230065	31	33	25	27	5	38	22
22:31230269-31230482	2	4	3	9	9	2	10
22:31230797-31231740	79	170	58	69	12	107	81
22:31238206-31238432	10	8	6	0	3	3	8
22:31241393-31241818	24	16	15	19	5	8	8
22:31248111-31248680	200	454	165	152	43	294	193
22:31254345-31254545	2	6	1	14	6	1	6
22:31259145-31259439	14	4	0	10	8	4	20
22:31259579-31259826	3	10	7	16	0	4	8
22:31266058-31266371	13	19	11	15	2	11	8
22:31266424-31266624	13	11	7	6	0	5	20
22:31267916-31268231	16	30	2	21	13	10	17
22:31270262-31270681	18	25	7	22	10	11	32
22:31271114-31271333	13	25	2	7	1	20	14
22:31272783-31273465	54	80	68	36	21	72	40
22:31276660-31277012	18	81	9	30	8	39	24
22:31278195-31278677	39	158	30	56	11	91	63
22:31278828-31279664	169	359	105	101	58	304	192
22:31280292-31280551	32	26	15	27	8	22	8
22:31286368-31286744	222	331	255	122	65	305	129
22:31290622-31291247	803	1770	629	437	145	1033	624
22:31292401-31292789	270	398	310	158	67	384	212
22:31296377-31296616	26	3	57	7	18	5	9
22:31304668-31304902	25	8	16	3	4	4	5
22:31306429-31307076	54	29	61	14	12	16	21
22:31308333-31308788	11	30	8	18	11	32	24
22:31311731-31311939	14	0	7	4	4	2	3
22:31312937-31313167	6	13	7	23	0	15	12
22:31313242-31313865	40	71	24	27	12	49	42
22:31321524-31321752	13	7	5	8	4	11	9
22:31321833-31322074	3	1	4	8	8	3	2
22:31328768-31328968	9	9	4	15	12	16	6
22:31329589-31329810	22	5	8	13	2	4	7
22:31329896-31330255	94	9	93	12	76	12	10
22:31337295-31337611	54	16	42	15	15	18	26
22:31345434-31346947	920	2325	468	442	136	1162	833
22:31347337-31347998	244	299	193	95	54	137	98
22:31367399-31367599	6	3	9	8	2	3	10
22:31373180-31373395	1	3	1	8	0	2	4
22:31377958-31378158	3	3	0	0	0	1	8
22:31378711-31379143	46	1	33	2	28	2	1
22:31381135-31381366	5	3	3	9	0	2	5
22:31393923-31394353	13	5	36	19	4	8	15
22:31399235-31400137	780	1416	487	320	154	624	525
22:31410541-31410771	2	0	0	4	1	11	5
22:31418364-31418564	0	0	0	2	1	0	12
22:31418970-31419289	3	8	4	17	2	0	9
22:31423343-31423583	17	0	9	4	10	5	0
22:31425809-31426156	23	3	19	1	7	4	3
22:31427455-31427663	3	9	6	8	0	4	4
22:31428009-31428209	3	3	0	1	0	0	9
22:31430737-31430937	14	0	0	14	0	4	2
22:31438289-31438508	3	4	2	4	1	2	14
22:31439882-31440104	15	4	15	6	4	7	9
22:31445489-31445754	5	6	4	19	5	5	6
22:31445812-31446107	13	1	21	7	15	3	5
22:31448198-31448532	6	9	7	6	3	18	14
22:31451810-31452109	24	19	37	12	12	42	17
22:31458558-31459142	8	6	8	20	5	19	13
22:31466392-31466592	4	0	0	6	6	2	12
22:31467730-31467936	2	1	9	0	0	1	5
22:31468284-31468501	2	4	0	10	1	5	11
22:31473692-31473923	10	4	0	4	0	3	9
22:31474664-31474880	5	1	8	0	0	5	6
22:31489045-31490965	877	1309	623	349	166	669	462
22:31496055-31497830	1206	2428	849	587	247	1516	898
22:31503256-31503473	2	9	3	1	0	6	5
22:31504460-31504729	16	1	17	8	9	0	7
22:31508661-31508941	24	3	7	14	5	8	6
22:31509236-31509607	14	14	13	7	8	11	4
22:31515239-31515546	3	4	2	13	2	7	6
22:31521427-31521664	15	15	4	8	2	8	12
22:31524286-31524515	31	5	58	8	13	0	1
22:31526157-31526696	243	17	319	15	115	4	9
22:31532831-31533074	12	8	6	12	4	2	2
22:31537079-31537686	363	16	294	12	109	8	7
22:31538906-31539213	61	5	65	3	18	4	4
22:31540924-31541238	17	10	4	17	5	7	5
22:31544675-31544884	0	0	1	1	2	8	11
22:31544910-31545162	0	11	4	4	1	10	3
22:31546934-31547491	43	6	41	12	11	2	11
22:31549773-31550049	2	2	0	4	6	6	0
22:31552877-31553342	31	18	36	10	9	20	14
22:31556778-31557131	19	24	27	20	2	13	11
22:31561300-31561692	93	69	84	21	21	22	27
22:31567570-31567770	0	0	0	1	0	9	1
22:31574548-31574780	12	4	11	0	0	0	1
22:31578371-31578573	12	12	4	12	1	2	6
22:31582399-31582962	179	38	221	6	69	16	18
22:31584913-31585695	77	122	80	52	38	72	40
22:31592180-31592381	0	10	0	2	0	2	2
22:31593817-31594040	6	5	14	7	2	10	10
22:31595781-31595981	7	6	1	1	0	1	14
22:31600461-31600829	11	21	8	10	6	2	7
22:31603718-31603964	12	7	5	8	6	11	6
22:31609849-31610065	14	18	0	11	7	8	10
22:31611082-31611282	9	7	3	13	2	5	16
22:31616404-31616889	110	52	151	29	43	43	53
22:31623644-31623961	31	48	18	23	6	19	36
22:31629325-31629795	65	136	47	113	22	73	54
22:31630186-31631211	815	1578	587	414	173	802	517
22:31633945-31634229	124	256	142	72	46	142	107
22:31639769-31640190	40	22	31	35	10	31	12
22:31646341-31647141	229	15	248	21	62	4	13
22:31648103-31648426	5	7	6	18	2	13	5
22:31651807-31652700	31	13	51	12	18	1	19
22:31654064-31654426	21	8	8	24	0	6	11
22:31661018-31661321	70	13	122	16	20	19	9
22:31661914-31662845	834	1339	564	359	179	642	420
22:31676690-31677304	484	660	409	162	102	330	235
22:31682272-31682473	6	4	2	4	6	2	4
22:31683201-31683726	28	11	5	23	0	10	18
22:31692296-31692613	54	25	86	18	10	14	4
22:31695403-31695603	3	7	2	10	1	2	10
22:31706061-31706267	4	0	0	4	0	0	11
22:31712153-31712788	14	28	11	21	0	13	5
22:31714565-31714917	6	4	2	20	6	8	8
22:31715482-31715771	5	1	0	13	0	13	4
22:31723884-31724212	6	1	11	4	8	4	14
22:31730465-31730669	7	4	3	4	0	11	4
22:31733695-31734013	3	3	18	8	12	10	5
22:31737247-31737447	6	10	6	2	2	2	5
22:31738029-31738242	7	5	1	7	3	10	16
22:31738630-31738830	9	4	9	8	3	4	6
22:31740960-31741160	6	1	6	2	0	2	6
22:31749773-31750477	722	1159	422	297	77	525	409
22:31753624-31754408	764	1637	493	341	114	743	557
22:31768583-31768972	24	4	18	9	2	5	7
22:31769992-31770221	0	1	1	5	2	0	11
22:31774514-31774850	3	16	2	10	2	3	2
22:31776436-31776655	3	1	9	3	2	3	4
22:31778841-31779137	5	2	8	5	0	6	9
22:31785952-31786167	10	1	0	2	0	6	0
22:31788178-31788628	20	7	21	17	5	3	3
22:31792050-31792499	7	12	20	2	2	6	11
22:31800250-31800507	7	6	2	8	2	8	8
22:31806732-31807083	2	3	0	8	7	3	5
22:31814122-31814322	1	0	6	1	4	0	0
22:31818904-31819350	56	16	64	3	12	9	7
22:31829552-31829957	307	6	346	12	69	2	3
22:31830059-31830273	15	9	12	5	6	1	7
22:31833975-31834316	10	20	0	11	1	6	5
22:31838715-31838915	9	3	1	2	2	0	0
22:31841671-31841871	0	3	0	12	4	0	1
22:31846150-31846464	16	0	15	3	0	1	5
22:31846831-31847146	11	16	16	7	14	11	19
22:31848515-31848731	8	6	2	4	0	14	8
22:31856127-31856447	15	13	15	7	4	2	11
22:31861571-31861970	56	1	65	2	21	1	5
22:31863174-31863427	11	14	1	6	2	4	4
22:31866002-31866249	5	2	6	14	0	6	6
22:31872135-31872335	10	8	0	12	2	7	3
22:31873297-31873497	7	7	2	2	2	14	10
22:31876219-31876476	10	6	7	3	5	5	13
22:31879914-31880205	15	6	3	11	0	3	12
22:31884303-31884606	11	4	0	18	0	0	0
22:31885062-31885369	11	5	7	6	0	5	16
22:31886315-31886515	0	7	1	0	4	0	4
22:31889117-31889317	2	2	2	6	6	2	11
22:31891820-31892020	12	1	0	2	4	2	4
22:31902434-31902941	8	18	7	6	8	20	24
22:31905711-31905979	5	3	1	17	0	6	2
22:31906088-31906677	17	20	18	27	3	26	4
22:31912189-31912510	15	9	13	13	4	17	11
22:31915400-31915800	24	11	19	20	14	7	8
22:31917210-31917635	40	25	33	15	11	8	8
22:31917723-31918002	20	5	28	5	7	5	4
22:31919146-31919362	2	15	3	9	2	2	10
22:31923412-31923612	11	4	10	9	3	2	5
22:31927217-31927495	6	6	3	7	10	1	3
22:31927807-31928161	16	10	6	10	12	4	17
22:31931865-31932118	17	8	2	4	2	2	17
22:31934561-31934761	11	2	1	0	9	2	8
22:31943865-31945399	1027	1101	591	299	115	453	298
22:31947176-31947637	74	177	70	81	25	150	84
22:31951185-31952257	388	58	281	44	146	25	32
22:31956468-31956870	28	46	40	30	16	36	34
22:31958121-31958352	0	36	5	11	5	11	16
22:31958504-31959134	32	97	44	47	4	57	42
22:31963718-31963920	8	5	3	5	2	2	14
22:31969907-31971220	414	822	264	236	53	401	243
22:31972389-31972639	18	7	18	18	10	12	34
22:31977128-31977837	158	166	197	71	72	107	75
22:31984300-31984679	22	2	12	7	4	11	0
22:31987271-31987471	1	2	6	12	0	10	7
22:31989352-31989636	2	16	3	5	1	5	6
22:31990724-31990924	8	6	0	8	7	12	7
22:31991074-31991398	18	5	11	6	6	18	9
22:32000493-32000693	4	1	5	3	0	6	8
22:32010252-32010486	11	2	0	7	0	8	4
22:32013500-32013701	2	1	9	6	2	4	2
22:32020168-32020668	59	4	44	4	23	6	8
22:32023482-32023682	2	0	4	2	9	0	4
22:32024915-32025131	19	3	11	4	5	4	5
22:32026264-32026489	6	3	3	3	0	6	12
22:32026853-32027123	5	0	5	1	8	37	7
22:32030666-32030866	3	8	3	2	0	1	5
22:32032533-32032745	2	4	9	5	6	7	0
22:32032814-32033024	6	7	11	7	0	1	0
22:32034326-32034597	17	7	4	2	4	0	5
22:32035740-32035940	4	5	2	12	2	4	9
22:32042165-32042410	11	5	10	10	5	7	14
22:32042912-32043253	13	20	11	7	9	10	13
22:32043962-32044180	8	14	6	3	0	9	5
22:32050364-32050614	5	2	6	5	4	10	6
22:32050782-32051289	400	65	437	43	82	46	40
22:32058966-32059208	3	4	6	3	6	3	6
22:32066896-32067096	8	5	8	6	6	9	5
22:32073988-32074241	8	4	0	11	5	16	4
22:32074308-32074521	2	0	4	12	1	10	5
22:32081015-32081355	30	48	30	17	8	23	17
22:32082435-32082673	14	8	0	1	0	7	3
22:32084045-32084251	4	5	2	17	2	1	2
22:32095324-32095524	3	1	0	1	6	6	2
22:32096623-32096899	2	0	3	13	5	4	6
22:32107045-32107290	2	3	5	2	11	11	7
22:32113486-32113826	5	4	5	14	2	14	12
22:32120135-32120335	9	3	8	15	3	6	4
22:32120752-32121302	16	18	33	18	18	28	15
22:32122691-32123096	21	9	6	23	7	18	5
22:32123838-32124250	17	5	12	13	9	5	24
22:32130499-32130873	15	12	12	17	2	3	6
22:32132388-32133180	26	28	13	27	6	38	39
22:32137786-32138543	238	218	326	91	112	147	36
22:32140859-32141153	72	50	60	41	23	26	21
22:32142147-32142452	51	2	68	7	15	2	5
22:32142576-32143322	122	20	226	22	61	25	13
22:32144634-32145236	45	23	43	22	18	52	44
22:32147024-32147252	1	6	3	9	2	18	3
22:32150538-32150738	5	4	6	9	5	3	4
22:32160694-32160998	0	3	4	12	0	1	8
22:32161504-32161704	10	5	5	2	0	2	3
22:32164216-32164470	14	10	12	2	3	13	5
22:32166279-32166479	6	0	0	5	6	4	2
22:32175544-32176703	103	73	80	33	22	45	30
22:32179080-32179356	3	9	0	3	0	4	17
22:32185373-32185665	6	3	3	9	8	2	4
22:32185837-32186292	9	19	8	10	1	12	26
22:32193527-32193727	8	3	2	3	4	4	4
22:32202553-32202837	106	94	80	41	19	58	31
22:32202873-32203653	116	177	103	73	29	107	57
22:32204354-32205396	344	446	197	135	66	239	121
22:32207045-32207298	64	63	48	35	24	61	28
22:32212623-32213078	13	23	7	23	0	14	8
22:32217555-32217873	9	3	17	6	14	6	1
22:32218738-32218946	1	4	4	0	0	3	7
22:32226717-32226945	3	3	5	2	5	4	1
22:32229305-32229505	2	4	4	10	0	2	4
22:32230241-32230526	4	11	0	0	0	0	4
22:32232922-32233314	3	6	5	10	12	11	5
22:32238483-32238683	2	7	3	7	0	3	8
22:32244349-32244733	1	8	2	3	2	2	13
22:32245406-32245607	2	3	12	3	1	5	2
22:32246162-32246362	6	2	5	3	3	1	8
22:32253101-32253395	8	8	13	10	5	15	10
22:32255225-32255523	8	15	7	11	4	4	6
22:32260020-32260330	19	8	6	9	3	10	11
22:32262210-32262455	6	5	2	15	2	8	5
22:32266187-32266601	106	60	200	6	23	24	14
22:32269831-32270031	6	8	7	5	9	2	10
22:32270738-32270951	9	8	10	14	8	10	6
22:32270957-32271406	17	17	9	15	8	28	11
22:32271571-32271779	1	16	10	6	8	2	10
22:32272381-32272629	8	14	3	8	4	4	0
22:32272706-32273049	15	7	11	16	0	7	17
22:32279823-32280032	7	10	2	5	0	6	1
22:32280154-32280965	17	13	18	13	8	18	14
22:32281418-32281827	18	5	7	10	2	2	7
22:32284539-32284793	10	5	11	4	1	11	4
22:32289728-32289928	3	3	8	5	0	4	5
22:32290616-32290816	0	1	5	6	6	0	8
22:32300504-32300814	10	2	1	3	4	3	3
22:32301078-32301291	0	8	0	3	0	1	3
22:32306647-32306890	4	6	11	0	0	6	2
22:32310369-32310717	6	12	3	18	3	24	8
22:32318584-32318859	17	5	2	7	4	9	5
22:32319187-32319488	16	7	5	4	2	6	4
22:32320467-32320667	4	6	0	10	3	4	1
22:32325097-32325297	7	14	3	10	2	7	7
22:32333860-32334060	1	2	4	9	0	12	8
22:32341689-32341889	6	1	1	9	2	4	8
22:32353425-32353808	15	11	6	12	14	13	5
22:32355120-32355502	24	14	33	9	5	6	7
22:32356342-32356542	4	12	1	4	4	6	8
22:32356734-32357154	13	11	14	24	4	14	21
22:32367039-32367541	13	7	25	16	4	5	3
22:32369622-32369841	2	3	2	2	7	0	7
22:32376315-32377255	33	24	21	45	5	28	17
22:32378596-32379354	54	26	32	43	16	22	15
22:32383092-32383551	18	17	14	13	17	9	21
22:32386633-32386928	10	9	9	13	2	12	21
22:32389872-32390072	14	4	12	4	2	4	5
22:32395224-32395549	17	2	15	10	2	3	4
22:32404607-32404903	3	6	1	7	0	0	15
22:32411599-32412715	269	298	181	98	63	211	142
22:32426120-32426536	14	18	7	17	5	9	12
22:32432389-32432649	8	3	3	3	2	2	12
22:32433021-32433229	4	0	8	1	0	5	4
22:32442925-32443125	3	6	4	12	0	2	6
22:32444244-32444507	22	13	8	12	0	6	13
22:32446379-32446821	41	18	52	5	10	8	2
22:32452050-32452250	4	8	2	4	1	2	3
22:32457659-32457947	9	15	4	6	2	3	6
22:32460967-32461318	16	4	0	9	2	4	13
22:32463891-32464136	4	15	3	8	5	1	8
22:32464346-32464790	14	2	21	0	1	11	2
22:32466665-32466988	12	2	17	12	0	0	8
22:32473425-32473707	61	61	63	25	12	50	27
22:32474419-32475832	894	1371	505	309	116	640	440
22:32480471-32480716	22	5	4	7	2	16	5
22:32482806-32483301	237	15	321	25	91	15	9
22:32483990-32484396	23	6	19	27	0	6	26
22:32490181-32490546	9	4	4	13	4	13	12
22:32498802-32499040	2	2	0	15	0	2	1
22:32502506-32503015	30	7	4	15	6	9	6
22:32504008-32504233	2	3	11	6	1	0	0
22:32511550-32511750	3	1	1	15	2	3	15
22:32523018-32523268	5	0	1	5	5	0	5
22:32527950-32528150	9	5	8	16	0	2	7
22:32528508-32528708	8	0	5	8	10	3	6
22:32528982-32529374	35	34	33	12	17	22	17
22:32532110-32532482	26	26	14	15	15	17	22
22:32533801-32534024	0	7	7	20	6	10	7
22:32534211-32534496	12	9	14	23	4	8	7
22:32535926-32536258	15	20	1	17	2	12	23
22:32542455-32542662	11	7	7	14	2	15	11
22:32542794-32543100	22	6	2	14	2	12	15
22:32553033-32553300	6	5	1	7	0	13	0
22:32553699-32553899	6	2	9	5	2	5	11
22:32555932-32556132	4	0	1	6	2	1	10
22:32558756-32559130	25	14	22	8	7	7	3
22:32564240-32564440	5	8	9	6	9	8	5
22:32564646-32565248	34	12	12	36	8	21	14
22:32571823-32572192	15	5	19	17	9	12	17
22:32574228-32574430	9	4	6	8	0	9	0
22:32577393-32577619	6	2	2	5	0	0	9
22:32580027-32580435	5	4	6	30	2	2	10
22:32588260-32588469	3	1	2	4	2	8	1
22:32588845-32589161	9	13	3	13	1	2	7
22:32592265-32592504	8	0	1	16	1	2	8
22:32593660-32593861	9	2	2	2	0	6	12
22:32594853-32595058	1	0	11	5	1	3	2
22:32597649-32597894	15	10	7	9	4	2	2
22:32600329-32600663	8	6	11	12	0	15	8
22:32604331-32604636	20	8	4	1	4	2	3
22:32614368-32614650	3	6	11	21	4	6	8
22:32616985-32617238	6	7	16	7	2	3	3
22:32624254-32624472	7	7	9	16	4	2	9
22:32626099-32626342	3	13	11	9	11	5	12
22:32628428-32628666	2	4	1	7	8	22	2
22:32631622-32632375	53	20	80	13	14	8	18
22:32636981-32637237	16	10	20	8	8	6	6
22:32644253-32645184	120	126	80	22	14	54	54
22:32646462-32647090	93	2	68	13	23	5	10
22:32649595-32649821	19	11	23	10	7	6	5
22:32651878-32652096	6	8	4	7	9	0	2
22:32654003-32654213	3	12	4	3	0	3	5
22:32660303-32660677	27	34	23	7	13	7	8
22:32671388-32671616	8	13	7	0	8	6	7
22:32671742-32671942	5	4	6	2	1	11	3
22:32672609-32672934	5	3	1	12	4	22	3
22:32673367-32673586	4	8	2	12	5	6	9
22:32676180-32676483	9	4	13	0	8	2	8
22:32681654-32681856	3	3	3	0	8	2	5
22:32682513-32682821	19	7	5	1	3	6	3
22:32688876-32689086	3	6	3	7	0	0	9
22:32689162-32689366	2	14	3	6	7	6	8
22:32690842-32691042	2	6	10	9	3	3	2
22:32697672-32697914	4	6	12	8	2	7	3
22:32699206-32699472	6	15	5	7	0	7	4
22:32699550-32699776	1	4	1	7	8	3	2
22:32701219-32701453	4	0	14	5	0	0	2
22:32708816-32709278	22	6	6	8	12	4	4
22:32712245-32712519	12	1	4	5	2	9	4
22:32717517-32717775	9	5	8	6	1	14	9
22:32723390-32723590	9	5	9	10	9	9	10
22:32723666-32724059	53	70	36	23	5	50	30
22:32724121-32724363	11	19	6	3	2	3	3
22:32731788-32731988	3	3	6	1	4	2	11
22:32733823-32734447	9	6	9	19	14	18	29
22:32734556-32734854	5	6	3	3	2	21	4
22:32736298-32736498	1	11	2	1	2	2	3
22:32739510-32739804	8	0	4	13	17	2	5
22:32740270-32740556	1	8	15	6	0	6	0
22:32743572-32743982	17	11	6	27	4	5	20
22:32744498-32744741	17	12	1	8	2	0	2
22:32744997-32745506	8	15	13	14	8	10	31
22:32747789-32748139	17	9	4	24	1	7	8
22:32750545-32750792	8	15	4	10	0	13	3
22:32753176-32753376	5	3	2	13	3	1	13
22:32765150-32765350	11	9	4	5	8	6	13
22:32765589-32765944	8	21	16	6	5	5	6
22:32771164-32771364	2	8	9	8	2	0	3
22:32785731-32786064	1	3	15	12	4	1	7
22:32787915-32788115	0	9	0	10	3	6	2
22:32795736-32795949	9	0	7	5	0	12	8
22:32796640-32797459	116	95	64	45	9	38	34
22:32801455-32802276	90	46	39	24	22	49	35
22:32803311-32803511	16	6	5	6	3	7	7
22:32811927-32812206	6	13	5	9	4	1	7
22:32823188-32823670	19	21	25	24	14	7	12
22:32828965-32829175	13	8	2	10	9	2	13
22:32829722-32830013	14	9	18	15	6	3	4
22:32839171-32839376	5	5	6	2	12	0	8
22:32841615-32841818	10	14	3	4	0	3	2
22:32850848-32851064	14	7	4	5	2	0	0
22:32851873-32852073	3	7	6	2	8	3	7
22:32858028-32858721	45	26	16	14	15	25	26
22:32861385-32861680	8	26	7	16	0	9	2
22:32863537-32863737	6	6	4	4	0	10	2
22:32864963-32865242	8	8	11	4	0	18	6
22:32865854-32866088	7	9	7	10	6	24	4
22:32867214-32867516	16	4	8	8	0	1	5
22:32881024-32881704	102	29	29	21	20	52	27
22:32882059-32882486	56	41	35	14	12	33	17
22:32883135-32883335	4	6	0	17	3	3	6
22:32893345-32893571	3	11	0	2	2	2	6
22:32894597-32894811	15	1	5	11	5	2	7
22:32897387-32897902	70	9	58	5	23	3	12
22:32898493-32898745	3	0	7	4	1	14	5
22:32903517-32903743	8	6	6	5	8	3	4
22:32904194-32904426	14	8	17	10	4	6	13
22:32905413-32905666	2	1	10	19	3	2	7
22:32909456-32910024	19	8	18	11	10	9	4
22:32911318-32911518	10	8	1	6	3	5	3
22:32918062-32918307	8	1	2	6	10	4	4
22:32918900-32919120	6	5	8	10	0	0	10
22:32926818-32927159	28	15	15	8	0	4	8
22:32932302-32932737	56	7	18	2	23	6	8
22:32935089-32935289	0	2	0	0	3	7	4
22:32941636-32942414	10	20	8	37	11	23	20
22:32949260-32949478	6	4	9	11	8	7	4
22:32950080-32950281	9	4	4	4	8	2	6
22:32957450-32957673	0	0	3	6	0	13	1
22:32960523-32960785	5	5	6	13	5	11	10
22:32961336-32961536	9	3	10	4	2	1	5
22:32966198-32966600	10	7	6	25	6	17	18
22:32967853-32968053	4	2	6	14	6	3	13
22:32969625-32969858	3	4	1	4	7	19	0
22:32971967-32972241	14	3	6	2	0	7	7
22:32976816-32977089	7	7	4	10	2	14	9
22:32979927-32980173	0	13	2	15	1	1	10
22:32985940-32986514	73	61	32	23	7	18	22
22:32993924-32994208	4	16	7	21	2	8	3
22:32994247-32994463	19	6	5	9	2	16	2
22:33000580-33001074	39	36	23	28	18	13	26
22:33003998-33004296	21	10	6	6	2	9	14
22:33007540-33007808	4	5	5	17	0	2	8
22:33010418-33010618	1	1	1	1	0	7	6
22:33012597-33012985	11	8	5	13	2	2	8
22:33014194-33014458	6	1	2	8	1	7	5
22:33018366-33018630	28	21	17	6	5	7	7
22:33018786-33019074	12	17	6	10	0	10	9
22:33023222-33023869	76	11	36	15	14	7	12
22:33028065-33028428	7	17	21	7	6	4	19
22:33029576-33029930	24	12	10	12	11	22	13
22:33030185-33030472	29	12	18	1	6	8	4
22:33031033-33031282	14	11	12	20	3	7	6
22:33038474-33039365	31	29	11	44	16	27	28
22:33041770-33042004	13	3	0	13	0	6	4
22:33049276-33049537	38	21	4	5	6	8	8
22:33051866-33052148	6	8	4	13	12	7	8
22:33052439-33052648	1	8	9	7	0	2	7
22:33057697-33057899	5	3	6	17	3	5	1
22:33057999-33058860	80	22	24	19	18	17	13
22:33059860-33060290	6	13	6	22	4	2	11
22:33069064-33069264	2	1	3	5	0	9	4
22:33070786-33071022	3	4	9	5	2	0	5
22:33078721-33078969	5	2	12	6	2	8	2
22:33082351-33082551	8	2	0	8	1	8	1
22:33083695-33083895	0	7	3	5	0	10	3
22:33088216-33088458	8	4	1	3	0	9	3
22:33091013-33091408	17	0	9	5	0	4	7
22:33092362-33092630	2	1	13	3	0	5	6
22:33098179-33098379	4	1	2	2	6	1	13
22:33105780-33106008	7	5	5	3	3	13	6
22:33109504-33109704	10	11	1	0	4	2	5
22:33111615-33111815	12	0	10	2	1	8	7
22:33117014-33117237	13	3	12	11	0	7	3
22:33117390-33117590	1	8	2	4	2	2	2
22:33121086-33121288	2	0	3	2	6	3	1
22:33131243-33131466	0	4	0	5	0	9	4
22:33137240-33137440	2	0	7	1	0	0	0
22:33137828-33138360	22	3	13	16	4	15	17
22:33140116-33140425	2	3	3	17	0	3	9
22:33145214-33145422	7	2	4	5	2	4	0
22:33145635-33145835	11	1	4	2	0	2	5
22:33148001-33148201	7	5	5	3	2	4	1
22:33148241-33148445	1	0	9	1	2	0	3
22:33152213-33152439	9	6	8	2	2	5	2
22:33153385-33153585	5	0	1	6	0	7	4
22:33155888-33156495	19	19	8	25	6	10	23
22:33160780-33161143	12	9	16	7	2	3	6
22:33161549-33161990	16	7	4	19	0	6	1
22:33162264-33162464	4	1	2	11	0	1	2
22:33166534-33166751	5	6	4	3	6	1	0
22:33170944-33171144	1	1	4	9	1	1	2
22:33171524-33172199	41	15	13	22	11	7	11
22:33176100-33176301	1	0	5	0	0	2	9
22:33178176-33178472	9	5	11	4	0	3	2
22:33178505-33178705	3	9	1	2	2	1	1
22:33183703-33184089	0	3	4	15	6	7	6
22:33188766-33189205	8	6	13	16	2	6	25
22:33189706-33189912	5	10	4	6	0	1	7
22:33190497-33190881	11	3	2	5	7	2	13
22:33191548-33191748	4	2	9	0	0	2	5
22:33194623-33194897	9	2	2	4	1	2	12
22:33198750-33199008	5	1	4	13	0	1	3
22:33203352-33203875	25	11	18	23	0	2	14
22:33208791-33209016	1	0	3	12	8	0	6
22:33210219-33210749	16	21	28	27	16	10	24
22:33218829-33219029	7	0	0	6	0	2	9
22:33224902-33225102	6	4	9	9	4	0	3
22:33233372-33233645	4	4	13	11	3	0	3
22:33235519-33235861	20	3	0	4	2	2	4
22:33242777-33242998	4	2	9	9	0	2	5
22:33247836-33248307	34	4	10	6	6	9	12
22:33248736-33248997	2	4	0	1	0	12	4
22:33256873-33257112	12	2	1	1	0	1	1
22:33260890-33261096	8	4	4	15	2	0	4
22:33262210-33262538	14	10	9	9	3	3	17
22:33262900-33263100	3	4	7	5	2	8	8
22:33263453-33263733	15	3	1	10	2	8	5
22:33271363-33271573	10	5	3	2	8	1	4
22:33277098-33277298	8	0	5	9	4	4	13
22:33283131-33283400	2	5	5	9	2	15	2
22:33286426-33286626	11	4	2	13	0	1	4
22:33301004-33301242	10	5	4	7	2	16	3
22:33302140-33302730	77	34	13	27	6	17	14
22:33304109-33304656	33	24	19	25	15	41	22
22:33309614-33309824	4	5	2	18	2	4	1
22:33313044-33313298	23	4	7	14	4	10	13
22:33313434-33313667	19	10	0	14	0	10	6
22:33314150-33314350	6	6	2	7	3	3	11
22:33315157-33315419	1	5	6	10	5	8	7
22:33322214-33322433	3	4	11	3	1	0	3
22:33322603-33323011	11	3	2	21	9	4	12
22:33325321-33325525	4	13	3	5	0	6	6
22:33332789-33332989	6	3	0	6	6	10	8
22:33334746-33334981	3	12	3	17	2	6	3
22:33338179-33338379	6	4	5	9	5	11	6
22:33340359-33340930	33	18	10	11	18	5	17
22:33341791-33342000	3	0	2	6	10	5	3
22:33348074-33348274	6	3	3	6	3	3	12
22:33350629-33350904	15	3	2	19	4	3	2
22:33356348-33356548	1	2	6	4	3	2	12
22:33361781-33362010	9	10	14	9	0	8	10
22:33364695-33364895	7	5	11	6	0	2	2
22:33368413-33368618	13	2	0	0	2	2	3
22:33373907-33374194	8	8	0	8	2	4	3
